District,Year,Population,Growth Rate (%)
Pune,2000,7307914,2.44
Nagpur,2000,17127297,2.0
Nashik,2000,21011159,0.95
Mumbai,2000,27972574,2.75
Aurangabad,2000,12669599,2.02
Thane,2000,26339326,1.4
Kolhapur,2000,28095971,1.01
Solapur,2000,29198312,2.76
Pune,2001,6122466,2.99
Nagpur,2001,25111599,1.49
Nashik,2001,14047428,3.07
Mumbai,2001,29501271,2.11
Aurangabad,2001,22528653,1.51
Thane,2001,19941516,1.72
Kolhapur,2001,17390295,2.66
Solapur,2001,19184397,3.38
Pune,2002,6602456,0.67
Nagpur,2002,15443125,2.92
Nashik,2002,15783634,3.05
Mumbai,2002,6093360,0.97
Aurangabad,2002,18756681,1.71
Thane,2002,23475357,1.77
Kolhapur,2002,18384368,0.78
Solapur,2002,12694967,2.38
Pune,2003,27857150,2.95
Nagpur,2003,7605078,1.71
Nashik,2003,11083591,3.04
Mumbai,2003,19489560,2.73
Aurangabad,2003,14655386,2.76
Thane,2003,15786174,2.74
Kolhapur,2003,25111514,3.26
Solapur,2003,21354364,1.82
Pune,2004,26701336,1.79
Nagpur,2004,24697428,1.07
Nashik,2004,12844552,1.03
Mumbai,2004,12840778,2.58
Aurangabad,2004,5187732,0.62
Thane,2004,25956476,2.17
Kolhapur,2004,16280933,2.12
Solapur,2004,18633944,3.37
Pune,2005,29713119,1.43
Nagpur,2005,27470289,3.28
Nashik,2005,10475471,2.5
Mumbai,2005,25915204,2.18
Aurangabad,2005,25475810,3.48
Thane,2005,29015944,3.17
Kolhapur,2005,16304198,0.71
Solapur,2005,15695375,1.7
Pune,2006,18021503,1.28
Nagpur,2006,26015241,1.78
Nashik,2006,17519038,1.9
Mumbai,2006,19074776,1.23
Aurangabad,2006,14595203,0.8
Thane,2006,17655068,2.18
Kolhapur,2006,21737247,0.62
Solapur,2006,15167736,0.98
Pune,2007,10787922,0.64
Nagpur,2007,18507081,1.65
Nashik,2007,5422078,2.3
Mumbai,2007,25024621,1.18
Aurangabad,2007,26108066,2.07
Thane,2007,11161667,2.95
Kolhapur,2007,13431897,2.03
Solapur,2007,21166996,1.69
Pune,2008,5530115,0.97
Nagpur,2008,23152062,1.33
Nashik,2008,21620716,1.32
Mumbai,2008,19303142,1.49
Aurangabad,2008,14138339,0.67
Thane,2008,12694920,0.8
Kolhapur,2008,26738435,2.02
Solapur,2008,17749729,0.66
Pune,2009,20647924,1.77
Nagpur,2009,21193066,2.85
Nashik,2009,11190941,3.48
