Date,District,Rainfall (mm)
01-01-2023,Pune,144.87
01-01-2023,Nagpur,54.94
01-01-2023,Nashik,144.18
01-01-2023,Mumbai,29.64
01-01-2023,Aurangabad,182.16
01-01-2023,Thane,59.59
01-01-2023,Kolhapur,46.56
01-01-2023,Solapur,186.8
02-01-2023,Pune,66.89
02-01-2023,Nagpur,150.37
02-01-2023,Nashik,37.35
02-01-2023,Mumbai,50.09
02-01-2023,Aurangabad,63.19
02-01-2023,Thane,177.09
02-01-2023,Kolhapur,70.07
02-01-2023,Solapur,55.41
03-01-2023,Pune,17.8
03-01-2023,Nagpur,173.96
03-01-2023,Nashik,154.25
03-01-2023,Mumbai,79.01
03-01-2023,Aurangabad,154.04
03-01-2023,Thane,120.11
03-01-2023,Kolhapur,194.91
03-01-2023,Solapur,62.13
04-01-2023,Pune,66.38
04-01-2023,Nagpur,166.48
04-01-2023,Nashik,74.18
04-01-2023,Mumbai,179.08
04-01-2023,Aurangabad,32.6
04-01-2023,Thane,89.19
04-01-2023,Kolhapur,167.09
04-01-2023,Solapur,78.02
05-01-2023,Pune,118.11
05-01-2023,Nagpur,86.93
05-01-2023,Nashik,53.05
05-01-2023,Mumbai,148.63
05-01-2023,Aurangabad,101.65
05-01-2023,Thane,19.31
05-01-2023,Kolhapur,191.04
05-01-2023,Solapur,80.15
06-01-2023,Pune,30.3
06-01-2023,Nagpur,122.71
06-01-2023,Nashik,156.41
06-01-2023,Mumbai,141.55
06-01-2023,Aurangabad,48.59
06-01-2023,Thane,85.07
06-01-2023,Kolhapur,169.85
06-01-2023,Solapur,37.71
07-01-2023,Pune,22.53
07-01-2023,Nagpur,58.76
07-01-2023,Nashik,81.8
07-01-2023,Mumbai,49.18
07-01-2023,Aurangabad,92.18
07-01-2023,Thane,46.91
07-01-2023,Kolhapur,180.13
07-01-2023,Solapur,90.11
08-01-2023,Pune,105.15
08-01-2023,Nagpur,74.04
08-01-2023,Nashik,53.28
08-01-2023,Mumbai,184.44
08-01-2023,Aurangabad,165.03
08-01-2023,Thane,117.11
08-01-2023,Kolhapur,61.18
08-01-2023,Solapur,85.96
09-01-2023,Pune,97.95
09-01-2023,Nagpur,129.92
09-01-2023,Nashik,112.7
09-01-2023,Mumbai,154.12
09-01-2023,Aurangabad,67.98
09-01-2023,Thane,33.42
09-01-2023,Kolhapur,180.23
09-01-2023,Solapur,85.93
10-01-2023,Pune,195.7
10-01-2023,Nagpur,58.11
10-01-2023,Nashik,38.08
10-01-2023,Mumbai,62.02
10-01-2023,Aurangabad,135.25
10-01-2023,Thane,71.04
10-01-2023,Kolhapur,40.69
10-01-2023,Solapur,87.66
11-01-2023,Pune,119.86
11-01-2023,Nagpur,125.65
11-01-2023,Nashik,140.05
11-01-2023,Mumbai,138.34
11-01-2023,Aurangabad,126.63
11-01-2023,Thane,128.38
11-01-2023,Kolhapur,159.85
11-01-2023,Solapur,86.98
12-01-2023,Pune,64.09
12-01-2023,Nagpur,33.8
12-01-2023,Nashik,12.51
12-01-2023,Mumbai,107.89
12-01-2023,Aurangabad,114.75
12-01-2023,Thane,199.03
12-01-2023,Kolhapur,65.5
12-01-2023,Solapur,20.46
13-01-2023,Pune,26.13
13-01-2023,Nagpur,92.15
13-01-2023,Nashik,47.79
13-01-2023,Mumbai,97.18
13-01-2023,Aurangabad,127.98
13-01-2023,Thane,167.06
13-01-2023,Kolhapur,50.01
13-01-2023,Solapur,50.15
14-01-2023,Pune,34.02
14-01-2023,Nagpur,190.96
14-01-2023,Nashik,19.79
14-01-2023,Mumbai,57.1
14-01-2023,Aurangabad,97.79
14-01-2023,Thane,79.11
14-01-2023,Kolhapur,107.97
14-01-2023,Solapur,56.16
15-01-2023,Pune,127.67
15-01-2023,Nagpur,42.49
15-01-2023,Nashik,100.08
15-01-2023,Mumbai,33.13
15-01-2023,Aurangabad,79.76
15-01-2023,Thane,150.59
15-01-2023,Kolhapur,109.25
15-01-2023,Solapur,33.81
16-01-2023,Pune,131.72
16-01-2023,Nagpur,120.09
16-01-2023,Nashik,146.24
16-01-2023,Mumbai,132.92
16-01-2023,Aurangabad,15.41
16-01-2023,Thane,115.72
16-01-2023,Kolhapur,198.17
16-01-2023,Solapur,28.31
17-01-2023,Pune,116.14
17-01-2023,Nagpur,184.89
17-01-2023,Nashik,144.88
17-01-2023,Mumbai,55.85
17-01-2023,Aurangabad,27.7
17-01-2023,Thane,17.72
17-01-2023,Kolhapur,106.22
17-01-2023,Solapur,108.98
18-01-2023,Pune,195.25
18-01-2023,Nagpur,155.11
18-01-2023,Nashik,147.73
18-01-2023,Mumbai,36.14
18-01-2023,Aurangabad,179.77
18-01-2023,Thane,103.4
18-01-2023,Kolhapur,23.5
18-01-2023,Solapur,90.48
19-01-2023,Pune,52.4
19-01-2023,Nagpur,45.92
19-01-2023,Nashik,17.78
19-01-2023,Mumbai,71.83
19-01-2023,Aurangabad,44.83
19-01-2023,Thane,12.39
19-01-2023,Kolhapur,198.1
19-01-2023,Solapur,31.67
20-01-2023,Pune,147.81
20-01-2023,Nagpur,97.49
20-01-2023,Nashik,193.76
20-01-2023,Mumbai,23.07
