Date,Reservoir Name,District,Inflow (MLD),Outflow (MLD),Storage Capacity (MLD),Current Level (MLD)
01-01-2023,Koyna Dam,Satara,1199,1310,271067,163704
01-01-2023,Bhatsa Dam,Thane,2872,1123,256035,115544
01-01-2023,Ujjani Dam,Solapur,2868,1857,168401,118035
01-01-2023,Jayakwadi Dam,Aurangabad,2214,1353,289193,249342
02-01-2023,Koyna Dam,Satara,1573,1316,236036,187068
02-01-2023,Bhatsa Dam,Thane,1560,2375,216736,113055
02-01-2023,Ujjani Dam,Solapur,2752,1166,177416,161970
02-01-2023,Jayakwadi Dam,Aurangabad,1316,1737,179318,142659
03-01-2023,Koyna Dam,Satara,2765,1780,197539,161758
03-01-2023,Bhatsa Dam,Thane,2228,1226,235793,171991
03-01-2023,Ujjani Dam,Solapur,1138,1493,246978,193344
03-01-2023,Jayakwadi Dam,Aurangabad,2592,1698,169409,137295
04-01-2023,Koyna Dam,Satara,2284,1118,230728,206407
04-01-2023,Bhatsa Dam,Thane,2381,2404,213532,142539
04-01-2023,Ujjani Dam,Solapur,2398,1438,281715,202837
04-01-2023,Jayakwadi Dam,Aurangabad,2076,2307,183958,113159
05-01-2023,Koyna Dam,Satara,1100,1888,161562,154202
05-01-2023,Bhatsa Dam,Thane,2850,2493,164221,109892
05-01-2023,Ujjani Dam,Solapur,1154,1360,239913,198104
05-01-2023,Jayakwadi Dam,Aurangabad,2241,1550,260760,147028
06-01-2023,Koyna Dam,Satara,1418,2345,293915,154655
06-01-2023,Bhatsa Dam,Thane,2971,1089,155006,105080
06-01-2023,Ujjani Dam,Solapur,2250,1792,160111,134744
06-01-2023,Jayakwadi Dam,Aurangabad,2881,1673,241229,130551
07-01-2023,Koyna Dam,Satara,2670,1196,164296,160210
07-01-2023,Bhatsa Dam,Thane,2484,1576,220909,102745
07-01-2023,Ujjani Dam,Solapur,1448,1699,242645,113259
07-01-2023,Jayakwadi Dam,Aurangabad,2727,2425,188816,169102
08-01-2023,Koyna Dam,Satara,1667,1673,183994,140365
08-01-2023,Bhatsa Dam,Thane,2706,2014,205046,196462
08-01-2023,Ujjani Dam,Solapur,2386,2137,205835,194866
08-01-2023,Jayakwadi Dam,Aurangabad,2441,1693,272375,152843
09-01-2023,Koyna Dam,Satara,1392,1875,216007,142838
09-01-2023,Bhatsa Dam,Thane,1206,2163,178938,166821
09-01-2023,Ujjani Dam,Solapur,2722,1165,265485,259159
09-01-2023,Jayakwadi Dam,Aurangabad,2731,1642,236513,217698
10-01-2023,Koyna Dam,Satara,1472,1769,238694,107341
10-01-2023,Bhatsa Dam,Thane,1696,2115,158484,126209
10-01-2023,Ujjani Dam,Solapur,2229,2123,217788,122605
10-01-2023,Jayakwadi Dam,Aurangabad,1344,1941,153089,109466
11-01-2023,Koyna Dam,Satara,2800,2087,293014,253531
11-01-2023,Bhatsa Dam,Thane,1619,1983,159525,152008
11-01-2023,Ujjani Dam,Solapur,2189,1757,286097,266524
11-01-2023,Jayakwadi Dam,Aurangabad,1519,1505,283018,168341
12-01-2023,Koyna Dam,Satara,1642,1898,203960,147506
12-01-2023,Bhatsa Dam,Thane,2475,1583,243504,205121
12-01-2023,Ujjani Dam,Solapur,2754,2082,197028,158960
12-01-2023,Jayakwadi Dam,Aurangabad,2967,2487,223556,184550
13-01-2023,Koyna Dam,Satara,2235,1556,202426,190049
13-01-2023,Bhatsa Dam,Thane,2168,2399,184615,168933
13-01-2023,Ujjani Dam,Solapur,2587,1241,222827,120685
13-01-2023,Jayakwadi Dam,Aurangabad,2925,1006,207439,106934
14-01-2023,Koyna Dam,Satara,1066,1986,265096,175299
14-01-2023,Bhatsa Dam,Thane,2361,1720,284512,150758
14-01-2023,Ujjani Dam,Solapur,1350,1035,224818,112132
14-01-2023,Jayakwadi Dam,Aurangabad,2457,1273,269331,191539
15-01-2023,Koyna Dam,Satara,1019,1957,187155,185125
15-01-2023,Bhatsa Dam,Thane,2866,1024,219865,148213
15-01-2023,Ujjani Dam,Solapur,1205,1464,194222,184127
15-01-2023,Jayakwadi Dam,Aurangabad,2611,1489,168986,133153
16-01-2023,Koyna Dam,Satara,2134,1561,174107,113534
16-01-2023,Bhatsa Dam,Thane,2369,1774,260120,196323
16-01-2023,Ujjani Dam,Solapur,1681,2058,190812,158810
16-01-2023,Jayakwadi Dam,Aurangabad,2415,1809,259312,114413
17-01-2023,Koyna Dam,Satara,2249,1227,216795,166886
17-01-2023,Bhatsa Dam,Thane,2815,1188,236922,233713
17-01-2023,Ujjani Dam,Solapur,2513,2337,281907,233121
17-01-2023,Jayakwadi Dam,Aurangabad,1843,1497,269433,149800
18-01-2023,Koyna Dam,Satara,2139,2348,235176,233334
18-01-2023,Bhatsa Dam,Thane,1385,2394,262836,235965
18-01-2023,Ujjani Dam,Solapur,2209,2191,181042,113857
18-01-2023,Jayakwadi Dam,Aurangabad,2377,1001,264236,218095
19-01-2023,Koyna Dam,Satara,1820,1727,250790,220978
19-01-2023,Bhatsa Dam,Thane,1715,2024,236973,144522
19-01-2023,Ujjani Dam,Solapur,1111,2053,279329,225927
19-01-2023,Jayakwadi Dam,Aurangabad,1958,1688,266354,242002
20-01-2023,Koyna Dam,Satara,2598,2464,266813,235556
20-01-2023,Bhatsa Dam,Thane,2764,1840,209680,197633
20-01-2023,Ujjani Dam,Solapur,2473,2368,245966,127960
20-01-2023,Jayakwadi Dam,Aurangabad,1506,1251,151215,145872
21-01-2023,Koyna Dam,Satara,1999,2074,187640,173798
21-01-2023,Bhatsa Dam,Thane,1904,2055,264589,151824
21-01-2023,Ujjani Dam,Solapur,1432,1304,154494,127691
21-01-2023,Jayakwadi Dam,Aurangabad,2756,1725,236891,120783
22-01-2023,Koyna Dam,Satara,2128,1211,243063,184707
22-01-2023,Bhatsa Dam,Thane,2599,1801,290383,114927
22-01-2023,Ujjani Dam,Solapur,1037,2045,185867,150203
22-01-2023,Jayakwadi Dam,Aurangabad,2415,2053,255771,242961
23-01-2023,Koyna Dam,Satara,1424,1575,262363,242741
23-01-2023,Bhatsa Dam,Thane,1555,1942,228588,218834
23-01-2023,Ujjani Dam,Solapur,2154,1524,160027,101378
23-01-2023,Jayakwadi Dam,Aurangabad,2784,1124,230686,139361
24-01-2023,Koyna Dam,Satara,2459,1301,176059,101731
24-01-2023,Bhatsa Dam,Thane,1880,2489,169229,156160
24-01-2023,Ujjani Dam,Solapur,2997,2420,229710,188708
24-01-2023,Jayakwadi Dam,Aurangabad,1935,2339,225560,213708
25-01-2023,Koyna Dam,Satara,2762,1488,160421,146872
25-01-2023,Bhatsa Dam,Thane,1108,1984,152089,142890
25-01-2023,Ujjani Dam,Solapur,2443,2229,289303,224685
25-01-2023,Jayakwadi Dam,Aurangabad,2900,2376,181057,133222
26-01-2023,Koyna Dam,Satara,2423,1348,162863,150598
26-01-2023,Bhatsa Dam,Thane,2245,2452,237720,122537
26-01-2023,Ujjani Dam,Solapur,2288,1518,280618,255689
26-01-2023,Jayakwadi Dam,Aurangabad,1588,2089,163840,161365
27-01-2023,Koyna Dam,Satara,2262,1845,267505,132270
27-01-2023,Bhatsa Dam,Thane,2659,1791,284158,207100
27-01-2023,Ujjani Dam,Solapur,1104,1897,273131,200269
27-01-2023,Jayakwadi Dam,Aurangabad,1325,2341,187221,131997
28-01-2023,Koyna Dam,Satara,2573,1743,219749,191210
28-01-2023,Bhatsa Dam,Thane,1675,2139,260139,153700
28-01-2023,Ujjani Dam,Solapur,2290,1801,220552,187849
28-01-2023,Jayakwadi Dam,Aurangabad,2507,1098,229913,132697
29-01-2023,Koyna Dam,Satara,1210,2023,299269,182194
29-01-2023,Bhatsa Dam,Thane,1441,1548,284861,214594
29-01-2023,Ujjani Dam,Solapur,2218,1334,275951,177531
29-01-2023,Jayakwadi Dam,Aurangabad,2650,2310,194958,132447
30-01-2023,Koyna Dam,Satara,1666,2096,164005,162607
30-01-2023,Bhatsa Dam,Thane,1922,2206,173158,135095
30-01-2023,Ujjani Dam,Solapur,1043,2132,243903,196510
30-01-2023,Jayakwadi Dam,Aurangabad,2567,1234,168827,139114
31-01-2023,Koyna Dam,Satara,2839,2313,173727,158892
31-01-2023,Bhatsa Dam,Thane,1127,1329,206806,184674
31-01-2023,Ujjani Dam,Solapur,2145,1800,273059,220848
31-01-2023,Jayakwadi Dam,Aurangabad,1660,1173,184421,174923
01-02-2023,Koyna Dam,Satara,2858,2472,274645,142135
01-02-2023,Bhatsa Dam,Thane,1953,1880,281944,133212
01-02-2023,Ujjani Dam,Solapur,2078,1896,268808,136768
01-02-2023,Jayakwadi Dam,Aurangabad,1418,2478,220032,162226
