Date,District,Domestic (MLD),Industrial (MLD),Agricultural (MLD)
01-01-2023,Pune,797,563,1439
01-01-2023,Nagpur,1694,1460,1172
01-01-2023,Nashik,537,1155,510
01-01-2023,Mumbai,1421,859,1262
01-01-2023,Aurangabad,1972,1410,606
01-01-2023,Thane,1059,444,560
01-01-2023,Kolhapur,799,855,788
01-01-2023,Solapur,1582,440,1381
02-01-2023,Pune,676,1108,1094
02-01-2023,Nagpur,1161,732,1295
02-01-2023,Nashik,570,1036,406
02-01-2023,Mumbai,1541,509,1022
02-01-2023,Aurangabad,548,1281,1061
02-01-2023,Thane,864,983,1168
02-01-2023,Kolhapur,804,1256,1132
02-01-2023,Solapur,1183,1413,749
03-01-2023,Pune,1448,793,1430
03-01-2023,Nagpur,1172,829,1284
03-01-2023,Nashik,931,631,667
03-01-2023,Mumbai,617,1421,906
03-01-2023,Aurangabad,734,1487,405
03-01-2023,Thane,1207,1241,1081
03-01-2023,Kolhapur,1956,334,775
03-01-2023,Solapur,1574,1245,1482
04-01-2023,Pune,1738,1097,814
04-01-2023,Nagpur,1916,990,1110
04-01-2023,Nashik,1105,767,907
04-01-2023,Mumbai,675,1265,926
04-01-2023,Aurangabad,1591,1499,1302
04-01-2023,Thane,1911,1071,1201
04-01-2023,Kolhapur,1435,1364,581
04-01-2023,Solapur,1514,812,798
05-01-2023,Pune,1413,954,1008
05-01-2023,Nagpur,901,1498,1319
05-01-2023,Nashik,1788,662,1258
05-01-2023,Mumbai,983,666,965
05-01-2023,Aurangabad,1935,1435,767
05-01-2023,Thane,519,480,1377
05-01-2023,Kolhapur,836,700,958
05-01-2023,Solapur,1527,339,717
06-01-2023,Pune,1921,1351,1131
06-01-2023,Nagpur,726,611,936
06-01-2023,Nashik,576,1232,911
06-01-2023,Mumbai,631,1155,1320
06-01-2023,Aurangabad,1227,1159,886
06-01-2023,Thane,683,360,529
06-01-2023,Kolhapur,1274,1043,679
06-01-2023,Solapur,1810,478,1248
07-01-2023,Pune,1181,447,450
07-01-2023,Nagpur,1614,502,1390
07-01-2023,Nashik,583,425,552
07-01-2023,Mumbai,1082,1124,1104
07-01-2023,Aurangabad,1345,968,1023
07-01-2023,Thane,1918,1040,1014
07-01-2023,Kolhapur,521,1147,468
07-01-2023,Solapur,1270,844,1002
08-01-2023,Pune,1930,1219,953
08-01-2023,Nagpur,1989,1235,1005
08-01-2023,Nashik,1022,1475,606
08-01-2023,Mumbai,1800,818,589
08-01-2023,Aurangabad,1874,1353,939
08-01-2023,Thane,623,497,901
08-01-2023,Kolhapur,1991,815,1190
08-01-2023,Solapur,1190,1479,1292
09-01-2023,Pune,1330,718,1297
09-01-2023,Nagpur,832,933,941
09-01-2023,Nashik,899,438,449
09-01-2023,Mumbai,774,1051,627
09-01-2023,Aurangabad,829,849,1104
09-01-2023,Thane,1966,620,546
09-01-2023,Kolhapur,1035,1091,1418
09-01-2023,Solapur,663,1413,1065
10-01-2023,Pune,1775,490,1310
10-01-2023,Nagpur,1802,1055,825
10-01-2023,Nashik,1644,1004,487
10-01-2023,Mumbai,855,1008,467
10-01-2023,Aurangabad,780,1346,1021
10-01-2023,Thane,1232,386,683
10-01-2023,Kolhapur,997,1020,459
10-01-2023,Solapur,1454,362,1256
11-01-2023,Pune,522,1248,1475
11-01-2023,Nagpur,1170,1120,669
11-01-2023,Nashik,1504,754,1389
11-01-2023,Mumbai,1972,1352,662
11-01-2023,Aurangabad,993,305,1138
11-01-2023,Thane,1571,547,1295
11-01-2023,Kolhapur,1740,1259,508
11-01-2023,Solapur,1519,1172,1159
12-01-2023,Pune,509,902,1142
12-01-2023,Nagpur,1752,1172,1214
12-01-2023,Nashik,1273,599,1089
12-01-2023,Mumbai,545,812,1377
12-01-2023,Aurangabad,951,1311,943
12-01-2023,Thane,869,1021,710
12-01-2023,Kolhapur,1055,814,695
12-01-2023,Solapur,559,1433,1059
13-01-2023,Pune,1687,320,1043
13-01-2023,Nagpur,1095,1384,927
13-01-2023,Nashik,1964,1468,461
13-01-2023,Mumbai,1400,1018,1055
13-01-2023,Aurangabad,798,772,1109
13-01-2023,Thane,1887,1152,1111
13-01-2023,Kolhapur,1338,1451,1227
13-01-2023,Solapur,1645,851,618
